Theta_100,I_100 ,Multiplier_100,Theta_110,I_110,Multiplier_110,Theta_210,I_210,Multiplier_210
0,0.08,1,0,0.14,1,0,0.06,1
1,0.12,1,5,0.16,1,5,0.00,1
2,0.22,1,10,0.04,1,10,0.00,1
3,0.34,1,15,0.00,1,15,0.00,1
4,0.36,1,20,0.00,1,20,0.00,1
5,0.20,1,21,0.00,1,25,0.00,1
6,0.14,1,22,0.00,1,30,0.00,1
7,0.20,1,23,0.00,1,35,0.00,1
8,0.28,1,24,0.02,1,40,0.00,1
9,0.12,1,25,0.00,1,45,0.00,1
10,0.00,1,26,0.10,1,46,0.00,1
11,0.00,1,27,0.36,1,47,0.00,1
12,0.00,1,28,0.64,1,48,0.00,1
13,0.02,1,29,0.58,1,49,0.00,1
14,0.02,1,30,0.82,1,50,0.00,1
15,0.10,1,31,0.40,3,51,0.00,1
16,0.60,1,32,0.42,3,52,0.04,1
17,0.34,3,33,0.34,3,53,0.10,1
18,0.80,1,34,0.32,3,54,0.28,1
19,0.18,1,35,0.92,1,55,0.40,1
20,0.12,1,36,0.56,1,56,0.58,1
21,0.36,3,37,0.28,1,57,0.54,1
22,0.74,3,38,0.06,1,58,0.40,1
23,0.80,3,39,0.04,1,59,0.20,1
24,0.68,3,40,0.04,1,60,0.08,1
25,0.92,1,45,0.00,1,61,0.04,1
26,0.62,1,50,0.00,1,62,0.02,1
27,0.78,1,55,0.00,1,63,0.02,1
28,0.64,1,60,0.00,1,64,0.02,1
29,0.46,1,65,0.00,1,65,0.00,1
30,0.18,1,70,0.00,1,66,0.00,1
31,0.06,1,,,,67,0.00,1
32,0.04,1,,,,70,0.00,1
33,0.02,1,,,,,,
34,0.00,1,,,,,,
35,0.00,1,,,,,,
36,0.00,1,,,,,,
37,0.00,1,,,,,,
38,0.00,1,,,,,,
39,0.02,1,,,,,,
40,0.00,1,,,,,,
41,0.00,1,,,,,,
42,0.00,1,,,,,,
43,0.00,1,,,,,,
44,0.02,1,,,,,,
45,0.08,1,,,,,,
46,0.20,1,,,,,,
47,0.38,1,,,,,,
48,0.32,1,,,,,,
49,0.40,1,,,,,,
50,0.28,1,,,,,,
51,0.14,1,,,,,,
52,0.06,1,,,,,,
53,0.02,1,,,,,,
54,0.00,1,,,,,,
55,0.00,1,,,,,,
56,0.00,1,,,,,,
57,0.00,1,,,,,,
58,0.00,1,,,,,,
59,0.00,1,,,,,,
60,0.00,1,,,,,,
61,0.00,1,,,,,,
62,0.00,1,,,,,,
63,0.00,1,,,,,,
64,0.00,1,,,,,,
65,0.02,1,,,,,,
66,0.00,1,,,,,,
67,0.00,1,,,,,,
68,0.00,1,,,,,,
69,0.00,1,,,,,,
70,0.00,1,,,,,,